GISJOIN,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area
G40006600,"40","06600","02409858","4006600",Blackwell,Blackwell city,"25",C1,N,N,G4110,A,14439486.00000000000,17842.00000000000,"+36.8014725","-097.3001424",29738.82862330000,14457328.10060000047
G40008750,"40","08750","02409906","4008750",Bridgeport,Bridgeport city,"25",C1,N,N,G4110,A,1390779.00000000000,0.00000000000,"+35.5476217","-098.3774782",5097.06630853000,1390779.24540999997
G40009850,"40","09850","02411740","4009850",Buffalo,Buffalo town,"43",C1,N,N,G4110,A,2883126.00000000000,0.00000000000,"+36.8294119","-099.6376725",21686.84478800000,2883115.91524000000
G40009950,"40","09950","02411743","4009950",Burbank,Burbank town,"43",C1,N,N,G4110,A,860925.00000000000,11074.00000000000,"+36.6960851","-096.7281118",4750.42040160000,871999.27953900001
G40010050,"40","10050","02411744","4010050",Burlington,Burlington town,"43",C1,N,N,G4110,A,705909.00000000000,0.00000000000,"+36.9002127","-098.4234096",3966.18422677000,705908.10318900004
G40010450,"40","10450","02411749","4010450",Butler,Butler town,"43",C1,N,N,G4110,A,1102611.00000000000,0.00000000000,"+35.6364480","-099.1863767",4658.79314232000,1102610.22878000000
G40010650,"40","10650","02413145","4010650",Byron,Byron town,"43",C1,N,N,G4110,A,652649.00000000000,0.00000000000,"+36.9013818","-098.2944231",3996.59777643000,652651.11181000003
G40011150,"40","11150","02413152","4011150",Camargo,Camargo town,"43",C1,N,N,G4110,A,643675.00000000000,0.00000000000,"+36.0179016","-099.2884536",3205.44884812000,643674.73452599999
G40011600,"40","11600","02413160","4011600",Canton,Canton town,"43",C1,N,N,G4110,A,1355634.00000000000,0.00000000000,"+36.0550177","-098.5884034",6610.66390652000,1355634.06154999998
G40012000,"40","12000","02413170","4012000",Carmen,Carmen town,"43",C1,N,N,G4110,A,3946518.00000000000,0.00000000000,"+36.5791174","-098.4579022",8073.65767942000,3946514.12158000004
G40012050,"40","12050","02413171","4012050",Carnegie,Carnegie town,"43",C1,N,N,G4110,A,3451762.00000000000,0.00000000000,"+35.1027418","-098.5995869",25564.71398450000,3451760.28507999983
G40012300,"40","12300","02413175","4012300",Carter,Carter town,"43",C1,N,N,G4110,A,1377351.00000000000,0.00000000000,"+35.2169475","-099.5035764",6330.19863156000,1377349.35049999994
G40013750,"40","13750","02409442","4013750",Cherokee,Cherokee city,"25",C1,N,N,G4110,A,5279584.00000000000,0.00000000000,"+36.7506750","-098.3577258",14604.76667150000,5279587.95017000008
G40013900,"40","13900","02413196","4013900",Cheyenne,Cheyenne town,"43",C1,N,N,G4110,A,2558081.00000000000,0.00000000000,"+35.6109196","-099.6763714",17073.28747320000,2558084.35103000002
G40015300,"40","15300","02413213","4015300",Cleo Springs,Cleo Springs town,"43",C1,N,N,G4110,A,1453517.00000000000,0.00000000000,"+36.4046664","-098.4401138",8243.19990193000,1453519.27380000008
G40018250,"40","18250","02410261","4018250",Crescent,Crescent city,"25",C1,N,N,G4110,A,2781956.00000000000,0.00000000000,"+35.9518070","-097.5948972",8957.86963108000,2781954.44878000021
G40019650,"40","19650","02412414","4019650",Deer Creek,Deer Creek town,"43",C1,N,N,G4110,A,369050.00000000000,0.00000000000,"+36.8066824","-097.5194833",2761.71718821000,369049.48659799999
G40021250,"40","21250","02412444","4021250",Douglas,Douglas town,"43",C1,N,N,G4110,A,657902.00000000000,0.00000000000,"+36.2604628","-097.6665997",3244.35758645000,657900.93006599997
G40023550,"40","23550","02412477","4023550",Elmer,Elmer town,"43",C1,N,N,G4110,A,1091861.00000000000,0.00000000000,"+34.4808011","-099.3521040",5146.95411640000,1091860.32676000008
G40024200,"40","24200","02410451","4024200",Erick,Erick city,"25",C1,N,N,G4110,A,2441951.00000000000,0.00000000000,"+35.2155932","-099.8685897",10762.41076260000,2441956.01084000012
G40024850,"40","24850","02412610","4024850",Fairfax,Fairfax town,"43",C1,N,N,G4110,A,1983253.00000000000,6579.00000000000,"+36.5700812","-096.7078847",10592.54733610000,1989829.43273000000
G40025100,"40","25100","02410477","4025100",Fairview,Fairview city,"25",C1,N,N,G4110,A,18478211.00000000000,93026.00000000000,"+36.2706102","-098.4770170",25330.56398780000,18571230.19150000066
G40025850,"40","25850","02629918","4025850",Felt,Felt CDP,"57",U1,N,N,G4210,S,1361444.00000000000,0.00000000000,"+36.5633658","-102.7947900",5527.34578084000,1361443.72594000003
G40026750,"40","26750","02412635","4026750",Foraker,Foraker town,"43",C1,N,N,G4110,A,673440.00000000000,0.00000000000,"+36.8728298","-096.5692105",3287.39980520000,673440.42234900000
G40026900,"40","26900","02412637","4026900",Forgan,Forgan town,"43",C1,N,N,G4110,A,1018398.00000000000,0.00000000000,"+36.9069790","-100.5379789",4440.94923120000,1018395.42874999996
G40027100,"40","27100","02412638","4027100",Fort Cobb,Fort Cobb town,"43",C1,N,N,G4110,A,1844762.00000000000,22326.00000000000,"+35.1152726","-098.4453342",14818.62853600000,1867088.20799000002
G40027350,"40","27350","02412643","4027350",Fort Supply,Fort Supply town,"43",C1,N,N,G4110,A,556935.00000000000,0.00000000000,"+36.5720915","-099.5735196",3305.55915803000,556937.92349199997
G40027850,"40","27850","02412658","4027850",Freedom,Freedom town,"43",C1,N,N,G4110,A,977701.00000000000,0.00000000000,"+36.7681619","-099.1125938",6423.65684189000,977701.82023399998
G40028500,"40","28500","02410566","4028500",Garber,Garber city,"25",C1,N,N,G4110,A,1311672.00000000000,0.00000000000,"+36.4366688","-097.5810121",6667.48428062000,1311672.92335000006
G40028800,"40","28800","02412673","4028800",Gate,Gate town,"43",C1,N,N,G4110,A,652446.00000000000,0.00000000000,"+36.8517062","-100.0552080",3484.16566428000,652446.69083199999
G40030350,"40","30350","02412694","4030350",Gotebo,Gotebo town,"43",C1,N,N,G4110,A,2042364.00000000000,0.00000000000,"+35.0712300","-098.8742614",6892.73743494000,2042361.48910999997
G40030400,"40","30400","02412695","4030400",Gould,Gould town,"43",C1,N,N,G4110,A,943367.00000000000,0.00000000000,"+34.6691443","-099.7736457",4905.58008738000,943367.10193100001
G40030600,"40","30600","02412696","4030600",Gracemont,Gracemont town,"43",C1,N,N,G4110,A,428754.00000000000,0.00000000000,"+35.1878556","-098.2591138",3091.29843474000,428756.69941200002
G40030750,"40","30750","02412697","4030750",Grainola,Grainola town,"43",C1,N,N,G4110,A,623704.00000000000,0.00000000000,"+36.9379294","-096.6487710",3161.92526711000,623701.59484599996
G40030950,"40","30950","02412705","4030950",Granite,Granite town,"43",C1,N,N,G4110,A,8732017.00000000000,38309.00000000000,"+34.9511538","-099.3683792",20011.34788200000,8770325.50874999911
G40032250,"40","32250","02412722","4032250",Hammon,Hammon town,"43",C1,N,N,G4110,A,1895922.00000000000,0.00000000000,"+35.6323202","-099.3832201",6391.84476559000,1895924.53820000007
G40032550,"40","32550","02412727","4032550",Hardesty,Hardesty town,"43",C1,N,N,G4110,A,582018.00000000000,0.00000000000,"+36.6147845","-101.1936622",3893.65671845000,582018.27751399996
G40034650,"40","34650","02412753","4034650",Hillsdale,Hillsdale town,"43",C1,N,N,G4110,A,897510.00000000000,0.00000000000,"+36.5632499","-097.9926637",4069.46101559000,897510.57094300003
G40034850,"40","34850","02412757","4034850",Hitchcock,Hitchcock town,"43",C1,N,N,G4110,A,387968.00000000000,0.00000000000,"+35.9676579","-098.3496955",2598.93541501000,387968.52078600001
G40035000,"40","35000","02410770","4035000",Hobart,Hobart city,"25",C1,N,N,G4110,A,8708711.00000000000,0.00000000000,"+35.0245814","-099.0875649",24845.43655090000,8708712.57584000006
G40035500,"40","35500","02410777","4035500",Hollis,Hollis city,"25",C1,N,N,G4110,A,3845370.00000000000,0.00000000000,"+34.6896716","-099.9152943",16142.03089650000,3845366.78266000003
G40035800,"40","35800","02805324","4035800",Homestead,Homestead CDP,"57",U1,N,N,G4210,S,1961526.00000000000,0.00000000000,"+36.1499704","-098.3970038",6901.40256331000,1961525.26423000009
G40036115,"40","36115","02805328","4036115",Hough,Hough CDP,"57",U1,N,N,G4210,S,178517.00000000000,0.00000000000,"+36.8719588","-101.5747400",1699.88659364000,178517.87123500000
G40036600,"40","36600","02412781","4036600",Hunter,Hunter town,"43",C1,N,N,G4110,A,607958.00000000000,0.00000000000,"+36.5640168","-097.6625081",3117.46879211000,607959.86170200002
G40036700,"40","36700","02412785","4036700",Hydro,Hydro town,"43",C1,N,N,G4110,A,1804982.00000000000,0.00000000000,"+35.5481300","-098.5801055",14042.42729160000,1804979.41839000001
G40037350,"40","37350","02629923","4037350",Isabella,Isabella CDP,"57",U1,N,N,G4210,S,7728367.00000000000,2569.00000000000,"+36.2389866","-098.3264013",11191.06173270000,7730936.73099999968
G40038000,"40","38000","02412805","4038000",Jet,Jet town,"43",C1,N,N,G4110,A,703791.00000000000,0.00000000000,"+36.6665271","-098.1816481",3695.90942573000,703791.00917700003
G40038800,"40","38800","02410168","4038800",Kaw City,Kaw City city,"25",C1,N,N,G4110,A,7797953.00000000000,8049783.00000000000,"+36.7667480","-096.8617769",17468.59936030000,15847739.41819999926
G40040100,"40","40100","02412843","4040100",Knowles,Knowles town,"43",C1,N,N,G4110,A,514728.00000000000,0.00000000000,"+36.8728931","-100.1924156",3439.55589523000,514727.17071400001
G40040700,"40","40700","02412860","4040700",Lahoma,Lahoma town,"43",C1,N,N,G4110,A,545158.00000000000,0.00000000000,"+36.3879885","-098.0903217",4387.91649628000,545158.02110100002
G40041300,"40","41300","02412873","4041300",Lambert,Lambert town,"43",C1,N,N,G4110,A,290733.00000000000,0.00000000000,"+36.6832415","-098.4236559",2188.27135395000,290732.16784200002
G40041350,"40","41350","02412874","4041350",Lamont,Lamont town,"43",C1,N,N,G4110,A,877203.00000000000,0.00000000000,"+36.6913192","-097.5582739",4158.82386474000,877204.32104499999
G40041700,"40","41700","02412880","4041700",Laverne,Laverne town,"43",C1,N,N,G4110,A,1939039.00000000000,0.00000000000,"+36.7053512","-099.8967937",10805.03663900000,1939044.76899000001
G40042050,"40","42050","02412886","4042050",Leedey,Leedey town,"43",C1,N,N,G4110,A,1165575.00000000000,0.00000000000,"+35.8684230","-099.3449236",6321.75946820000,1165573.56625999999
G40043850,"40","43850","02412911","4043850",Lone Wolf,Lone Wolf town,"43",C1,N,N,G4110,A,1347025.00000000000,0.00000000000,"+34.9904270","-099.2456025",5798.00335903000,1347025.60403000005
G40043950,"40","43950","02412912","4043950",Longdale,Longdale town,"43",C1,N,N,G4110,A,682533.00000000000,0.00000000000,"+36.1337941","-098.5511793",3867.31192579000,682535.09791899996
G40044000,"40","44000","02412913","4044000",Lookeba,Lookeba town,"43",C1,N,N,G4110,A,657905.00000000000,0.00000000000,"+35.3629997","-098.3638395",3260.69510909000,657903.80873000005
G40044200,"40","44200","02812855","4044200",Lovell,Lovell CDP,"57",U1,N,N,G4210,S,275584.00000000000,0.00000000000,"+36.0560335","-097.6364733",2111.50065842000,275584.95023700001
G40046000,"40","46000","02412938","4046000",Manchester,Manchester town,"43",C1,N,N,G4110,A,627404.00000000000,0.00000000000,"+36.9944941","-098.0351004",3765.12054834000,627405.80977199995
